Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
20/11/2013,20,50.17,69.98173,472.9544
20/11/2013,21,51.61,70.59304,417.6034
20/11/2013,22,54.77,68.63927,249.2584
20/11/2013,23,55.32,67.76732,182.1391
20/11/2013,24,54.01,67.62822,288.3936
20/11/2013,25,54.17,67.40787,457.6498
20/11/2013,26,54.35,66.1164,410.8664
20/11/2013,27,54.94,63.92555,332.5123
20/11/2013,28,54.62,62.53455,233.5046
20/11/2013,29,55.33,63.06065,314.3718
20/11/2013,30,53.06,60,0.9782
20/11/2013,31,61.89,62.40861,303.9965
20/11/2013,32,61.77,64.27063,446.042
20/11/2013,33,43.84009,63.18,-2.5093
20/11/2013,34,42.78729,84.79,-68.1523
20/11/2013,35,42.21809,74.61,-201.7478
20/11/2013,36,42.11034,70.85,-260.6518
20/11/2013,37,42.52378,68.3,-133.5085
20/11/2013,38,41.78069,67.61,-472.7271
20/11/2013,39,40.32695,53.83,-454.5422
20/11/2013,40,40.71063,55.53,-228.5444
20/11/2013,41,41.27614,54.04,-535.9206
20/11/2013,42,41.50519,53.93,-357.4914
20/11/2013,43,51.62,62.67616,255.0967
20/11/2013,44,41.76754,50.39,-27.6979
20/11/2013,45,40.5984,47.93,-342.3674
20/11/2013,46,42.30666,46.87,-71.8493
20/11/2013,47,39.94123,42.56,-237.5794
20/11/2013,48,37.31951,37.31951,-617.7337
21/11/2013,1,35.78189,37.12,-540.134
21/11/2013,2,38.46987,38.46987,-307.0559
21/11/2013,3,39.78823,39.78823,-174.11
21/11/2013,4,38.39016,38.39016,-387.5268
21/11/2013,5,35.20965,35.20965,-518.559
21/11/2013,6,39.75,39.75,-130.9225
21/11/2013,7,39.25489,39.25489,-259.1644
21/11/2013,8,39.1377,39.1377,-309.0227
21/11/2013,9,39.75,39.75,-216.9613
21/11/2013,10,35.47669,35.47669,-435.287
21/11/2013,11,37.33697,39.59,-392.1978
21/11/2013,12,38.39356,41.38,-314.7167
21/11/2013,13,40.20941,49.57,-226.1265
21/11/2013,14,40.98698,48.77,-138.514
21/11/2013,15,50.04,63.42464,146.8712
21/11/2013,16,50.44,69.81479,750.1546
21/11/2013,17,51.09,72.66735,736.8577
21/11/2013,18,50.93,84.31913,615.2652
21/11/2013,19,55.15,79.50082,431.5592
21/11/2013,20,55.66,72.32369,324.3716
21/11/2013,21,56,71.51213,282.9274
21/11/2013,22,57.37,70.32299,224.2507
21/11/2013,23,58.39,70.12,144.8885
21/11/2013,24,58.35,69.03141,270.857
